ell,residuals,osc_fit
78,-2.557226195575163e-13,-1.8913971208142808e-13
79,-2.7015535039812295e-13,-1.9952308848606175e-13
80,-2.840363761274981e-13,-2.0940233062511145e-13
81,-2.973249193742681e-13,-2.1875268494624052e-13
82,-3.099813569896833e-13,-2.2755072308502643e-13
83,-3.2196733411560397e-13,-2.357744005673626e-13
84,-3.3324587596444176e-13,-2.434031120443675e-13
85,-3.437814969936808e-13,-2.5041774292140445e-13
86,-3.5354030716157697e-13,-2.56800717251848e-13
87,-3.624901149556182e-13,-2.6253604177559485e-13
88,-3.706005268912947e-13,-2.676093459919764e-13
89,-3.778430431852112e-13,-2.7200791816666407e-13
90,-3.8419114931424845e-13,-2.7572073718234945e-13
91,-3.896204031810122e-13,-2.7873850015339336e-13
92,-3.941085176147092e-13,-2.8105364573525213e-13
93,-3.976354379470642e-13,-2.826603730702771e-13
94,-4.0018341441335314e-13,-2.8355465632241526e-13
95,-4.017370691403965e-13,-2.837342547643949e-13
96,-4.02283457495883e-13,-2.8319871839211944e-13
97,-4.018121235860041e-13,-2.8194938905220354e-13
98,-4.0031514970265693e-13,-2.799893970798253e-13
99,-3.9778719953555966e-13,-2.7732365345531963e-13
100,-3.9422555497970765e-13,-2.7395883749916415e-13
101,-3.896301463843737e-13,-2.6990338013619133e-13
102,-3.8400357610583514e-13,-2.6516744277095713e-13
103,-3.7735113524289154e-13,-2.597628918271999e-13
104,-3.696808134511694e-13,-2.5370326901517994e-13
105,-3.610033017501139e-13,-2.470037574014026e-13
106,-3.5133198825415553e-13,-2.396811433657365e-13
107,-3.4068294677825814e-13,-2.3175377454125116e-13
108,-3.290749182862681e-13,-2.2324151384215874e-13
109,-3.165292851696744e-13,-2.1416568969504828e-13
110,-3.030700383631665e-13,-2.0454904259811374e-13
111,-2.887237373227735e-13,-1.9441566814227867e-13
112,-2.7351946291147866e-13,-1.837909566369826e-13
113,-2.574887632566425e-13,-1.7270152949190517e-13
114,-2.40665592662792e-13,-1.611751725140297e-13
115,-2.2308624368279245e-13,-1.4924076628717925e-13
116,-2.0478927246917265e-13,-1.3692821380846428e-13
117,-1.8581541754679766e-13,-1.2426836556296156e-13
118,-1.6620751216644644e-13,-1.1129294222435306e-13
119,-1.4601039041762144e-13,-9.803445517521056e-14
120,-1.2527078729685888e-13,-8.452612504607002e-14
121,-1.0403723294572093e-13,-7.080179847740451e-14
122,-8.235994128988675e-14,-5.6895863313061e-14
123,-6.029069332776805e-14,-4.28431624376489e-14
124,-3.7882715333230304e-14,-2.867890647377404e-14
125,-1.5190552252911594e-14,-1.4438585557863426e-14
